product_name,brands,nutriscore_grade
Puffasztott Barna Rizs,Rice up!,a
Pasta Kids,Melissa,a
Integrale fusilli n°34,"De Cecco, De cecco",a
Valfrutta ceci,"Valfrutta, Conserve Italia",a
Pulpe Fine de tomates,"Cirio, Conserve Italia",a
Aqua Botol 600 ml,Danone,a
Mélange Millet-Sarrasin-Noisettes,Happy Bio,a
Lunch Bowl,Bonduelle,a
Eau de source,Cristaline,a
Purée de tomates nature,Carrefour,a
Weetabix Original,"Weetabix LTD, Weetabix",a
Weetabix,Weetabix®™,a
Migros Bio Hirse,"Migros Bio,Migros",a
Crema e gusto classico Kaffee,LavAzza,a
Lasagna,Garofalo,a
Tomates Pelados,Cirio,a
Pâtes De Haricot Noir (sedanini) (250 GR),Probios,a
Framboises,Driscoll's,a
"",Kellogg's,a
Pulpe de tomate en dés au jus,"Carrefour Bio,Carrefour",a
Smokey Cajun chicken Jambalaya,"marks & Spencer,M&S",a
Pomme vanille,Andros,a
Biscottes Equilibre,Brioche Pasquier,a
Tipiak Wholeweat Couscous,Tipiak,a
Soya Original,Alpro,a
BIO Rote Bonhnen,"M Classic,Migros,M Classic klein",a
Lasagne Blätter,Agnesi,a
Fusilli n°34,De Cecco,a
Fitness,Nestle,a
P.A.N. Harina De Maiz Blanco,Alimentos Polar,a
Joues de mangue surgeles,Royal Bourbon,a
FUSILLI AL BRONZO- Pâtes alimentaires de qualité supérieure 400G,Barilla,a
Tomates pelées Entières au jus,Carrefour,a
Haricots Rouges,Bonduelle,a
Dilo,Dilo,a
Maiskörner,M-Classic,a
"Spaghettoni N°7 Barilla 500 GR, 6 Paquets",Barilla,a
Penne Rigate N°73,Barilla,a
Fusilli N° 98,Barilla,a
Szénsavmentes ásványvíz,Theodora,a
Szentkirályi Ásványvíz,Szentkirályi Magyarország Kft,a
Lusine SLICED BREAD BROWN,Lusine,a
Haselnusskerne geröstet,Alesto,a
Organic Cinnamon Harvest,Kashi,a
Bio Organic Weisser Quinoa,Golden Sun,a
"",Chef Select,a
passerade tomater,"freshona,baresta",a
Petits pois,freshona,a
Panzani capellini 500g,Panzani,a
Ratatouille à la provençale,Casino,a
Lentilles,Casino,a
Petits pois à l'étuvée extrafins,Casino,a
Basmati,Carrefour,a
Lait Bio Demi-Écrémé,Lactel,a
Purée de tomates Basilic & oignons,Carrefour,a
Kichererbsenmehl,"Molino Zanone, Zanone",a
Penne rigate,La Molisana,a
Jogurt naturalny do picia ze szczepami bakterii ActiRegularis,Activia,a
Zesty guacamole,"Marks & Spencer,M&S",a
Orzo Pasta,"Eridanous, Lidl",a
Conchiglie tricolore extrudées au bronze,Monoprix,a
Compote Pêches,Materne,a
Oat Milk it's Organic Unsweetened Original imp,"pure-harvest, pureharvest",a
Arveja con Zanahoria,San Jorge,a
Pain de seigle complet,Natur aktiv,a
Monoprix Ratatouille Provençale,Monoprix,a
Eau de source - source Lafort,Source Lafort,a
Double concentré de tomates,Carrefour,a
High Protein Chocolate Pudding,Ehrmann,a
Polpa Chopped Tomatoes (Organic),Mutti,a
Nudeln aus thailändischem Reis,Terra Sana,a
Protein 50 Chocolate,Sponser,a
"NESTLE NESQUICK Céréales 1,0 kg","Nestlé, CPW",a
Био брашно от коноп,Dragon superfoods,a
Pom'Potes Pomme,"Materne,Pom' Potes",a
Pulpe de tomates au jus,Carrefour,a
Eau De Source De Montagne,Eco+ Leclerc eco,a
Quinoa Gepufft,"Alnatura, Alnatura GmbH",a
Koncentrat pomidorowy 30%,"Lowicz,Łowicz",a
country style barley groats,Sonko,a
Corn flakes,3arroyos,a
Salvado de avena,3 Arroyos,a
Filet de poulet sans os sans peau congelé,,a
Langostinos argentinos crudos,,a
Raisin blanc,Orchidea Frutta,a
Szentkiralyi Asv.Csend.0.5L Pet. 18,Szentkirályi,a
Jana Mineralwater,Jana,a
Okra,Suntat,a
Purée delice,bonduelle,a
Millefruits Pomme,millefruits-des-vergers-de-la-cochetiere,a
Tesco Almonds,Tesco,a
Houmous,Tesco,a
Organic Houmous,Tesco,a
Séré maigre,Milbona,a
bitesize wheat shreds,Crownfield,a
Bircher Muesli,Knusperone,a
Lentille Blonde De Saint Flour,la lentille BLONDE de Saint-Flour,a
Farine de blé complète - T150,Francine,a
Evian 100cl PET,Evian,a
"Badoit 0,5L PET EW",Badoit,a
Evian 500ml,Evian,a
"Evian 0,75l Glas MW - EW Premium",Evian,a
Eau Minérale Naturelle,Evian,a
Badoit 1 L PET,Badoit,a
La salvetat,Salvetat,a
Eau minerale naturelle,Evian,a
Badoit 1 L PET,Badoit,a
Evian 50cl PET,Evian,a
"Spaghetti, Al dente en 3 minutes","Lustucru,Lustucru Al dente en 3 minutes,Pastacorp",a
Cabillaud sauce Citron riz aux petits légumes,Marie,a
Flocons d'avoine complète,Quaker Oats,a
Croc Tofou Ail & Fines Herbes,Soy,a
Spaghetti de riz brun,"Valpi Bio,Valpi Form",a
Taboulé aux tomates fraîches,Garbit,a
Sauté de veau et ses petits légumes,William Saurin,a
Purée d'amande blanchie,PERL'AMANDE,a
Fusilli aux Pois Cassés,Lazzaretti,a
Fusilli lentille beluga,Lazzaretti,a
Torsade Lentilles Corail,Lazzaretti,a
Calin +,Yoplait,a
Fromage Blanc,yoplait,a
Panier de Yoplait,Yoplait,a
"Yopa! Craquant sur lit de graines & pêche abricot (2,5% MG)",Yoplait,a
Yopa,Yoplait,a
Câlin,"Yoplait,Calin 0%",a
Fromage blanc au lait demi-écrémé,"Calin,Yoplait, Calin standard",a
Dessert de fruits cuit au chaudron - Abricot pomme,Bergams,a
Cèpes séchées Saveurs,"U Saveurs, U",a
Montcalm,Montcalm,a
Ebly de blé,"Cereal, Ebly",a
"Reis, Weizen, Buchweizen & Quinoa",Uncle Ben's,a
Haricots Beurre Extra-Fins,Carrefour,a
Fines algues marines,Marinoe,a
Salicornes Au Naturel (160 GR),Marinoë,a
Escargot prepares Sans coquilles.,Française de Gastronomie,a
Tomates pelées entières au jus,"Jardin bio,Léa Nature",a
Cooked lentils and chickpeas (Jardin Bio),"Jardin bio,Léa Nature",a
Popcorn-Mais,Müller's Mühle,a
Eiweissbrot mit Roggen-Natursauerteig,Pema,a
Flocken Hafer,"Bauck hof,Bio Mühle",a
Flocons d'avoine,Rapunzel,a
Filets de saumon sauvage du Pacifique,Iglo,a
gehobelte  Mandeln,"Gut & Günstig,Edeka, Gut & Günstig, Gut & Günstig, Gut & Günstig, Gut & Günstig, Gut & Günstig, Gut & Günstig, Gut & Günstig, Gut & Günstig",a
vital & fit Mehrkornbrot,Gut & Günstig,a
